reviewer_country,room_type
Yumi from South Korea,Standard Double Mountain
Seo from South Korea,Deluxe Double Mountain
Aya from United States,Deluxe Double Mountain
sang from South Korea,Standard Twin Mountain
SEUNGJIN from South Korea,Premier Terrace Double Garden
Eunha from South Korea,Premier Terrace Double Garden
DAYOUNG from South Korea,Premier Terrace Double Garden
JUNGHYEOB from South Korea,Premier Terrace Double Garden
Jake from South Korea,Premier Terrace Double Garden
Ju from Japan,Premier Terrace Double Garden
yong from United States,Deluxe Family Twin Mountain
Se from Singapore,Standard Twin Garden
malco from Indonesia,Standard Double Mountain
Hannah from United States,Premier Terrace Double Garden
Sang from South Korea,Premier Double Ocean
Ho from United States,Deluxe Double Ocean
Teri from South Korea,Standard Twin Mountain
Jin from South Korea,Standard Twin Mountain
Hyeyoung from South Korea,Standard Double Mountain
Terri from United States,Standard Double Mountain for 2 People
Christie from United States,Premier Double Ocean
Christine from United States,Standard Double Mountain
Soh from South Korea,Premier Double Ocean
Kyoung from South Korea,Standard Twin Mountain for 2 People
Christie from United States,Premier Double Ocean
Eunha from South Korea,Standard Double Mountain
EUNJIN from Taiwan,Standard Double Mountain
Yongsik from South Korea,Standard Double Garden
Jiwoo from United States,Standard Twin Mountain
SUJI from South Korea,Standard Double Mountain
Narae from South Korea,Standard Double Garden
Ha from South Korea,Standard Double Garden
JENNY from Malaysia,
Roy from Singapore,Deluxe Double Ocean
"Siu from Hong Kong SAR, China",
Charles from Indonesia,Deluxe Double Ocean
Christopher from United States,Standard Terrace Double Garden
"Ming from Hong Kong SAR, China",Standard Double Mountain
Michael from Singapore,
병욱 from South Korea,Deluxe Double Ocean
JETAEK from South Korea,Premier Double Mountain
Moonsub from South Korea,Standard Double Mountain
Will from United States,Deluxe Family Twin Mountain
"Sze from Hong Kong SAR, China",Premier Double Ocean
JIA from Singapore,Standard Double Mountain
Jae from South Korea,Standard Double Mountain
Priscilla from Indonesia,
S,Standard Double Mountain
Dennis from United States,Premier Double Ocean
Lee from South Korea,Premier Double Ocean
SeokJin from South Korea,
TAEYONG from South Korea,
Min from South Korea,
sasung from South Korea,
Patricia from United Kingdom,
DO from South Korea,
Fazle from United States,
Joseph from United States,
Eugene from Singapore,
"Jennifer from Hong Kong SAR, China",
"Fei from Hong Kong SAR, China",
Jutamas from Thailand,
JIN from South Korea,
Sang from South Korea,
HYUNHO from South Korea,
JIEUN from South Korea,
MIN from Myanmar,
Sunghwan from South Korea,
성은 from South Korea,
JEONGTAK from South Korea,
peigen from Australia,
mi from South Korea,
DONGWOOK from South Korea,
Dean from United States,
Soyoung from South Korea,
Min from Singapore,
Min from Singapore,
Sudeep from India,
HYUNWOO from South Korea,
Jaye from Singapore,
QIDONG from China,
Jie from China,
JIHYE from South Korea,
LIM from Singapore,
Maosen from China,
Francois from France,
Hyo from United States,
Benjamin from Malaysia,
Tak from Malaysia,
Michael from United States,
Eric from Canada,
PRASANTA from Canada,
Patrick from United States,
YUKAI from Singapore,
zheng from China,
JIN from South Korea,
Robin from Indonesia,
Goh from Singapore,
Chen from Taiwan,
Boris from France,
Minh from Vietnam,
Ahmed from Saudi Arabia,
CHEE from Malaysia,
Minsung from South Korea,
Ken from South Korea,
Mark from Philippines,
Megawati from Indonesia,
Saereum from South Korea,
Apri from Indonesia,
Maureen from United States,
KANGWEI from Singapore,
Christopher from United States,
Wai from Singapore,
Anders from Norway,
Chia from Singapore,
Victoria from China,
Khiat from Singapore,
PAIBOON from Thailand,
Nilobol from Thailand,
yan from China,
Peter from Australia,
ivan from Spain,
"Alexandre from Hong Kong SAR, China",
peter from Germany,Standard Twin Mountain
Jurriaan from Netherlands,Deluxe Family Twin Mountain
AIKO from Japan,Standard Twin Mountain
Hiroyuki from Japan,Standard Twin Mountain
SHIGETOSHI from South Korea,Deluxe Family Twin Mountain
sumida from Japan,Standard Double Mountain
YUKA from Japan,
Yumi from South Korea,Standard Double Mountain
Seo from South Korea,Deluxe Double Mountain
Aya from United States,Deluxe Double Mountain
sang from South Korea,Standard Twin Mountain
SEUNGJIN from South Korea,Premier Terrace Double Garden
yong from United States,Deluxe Family Twin Mountain
Se from Singapore,Standard Twin Garden
malco from Indonesia,Standard Double Mountain
Hannah from United States,Premier Terrace Double Garden
Sang from South Korea,Premier Double Ocean
Ho from United States,Deluxe Double Ocean
Teri from South Korea,Standard Twin Mountain
Jin from South Korea,Standard Twin Mountain
Hyeyoung from South Korea,Standard Double Mountain
Terri from United States,Standard Double Mountain for 2 People
Christie from United States,Premier Double Ocean
Christine from United States,Standard Double Mountain
Soh from South Korea,Premier Double Ocean
Kyoung from South Korea,Standard Twin Mountain for 2 People
Christie from United States,Premier Double Ocean
Eunha from South Korea,Standard Double Mountain
EUNJIN from Taiwan,Standard Double Mountain
Yongsik from South Korea,Standard Double Garden
Jiwoo from United States,Standard Twin Mountain
SUJI from South Korea,Standard Double Mountain
Narae from South Korea,Standard Double Garden
Ha from South Korea,Standard Double Garden
JENNY from Malaysia,
Roy from Singapore,Deluxe Double Ocean
"Siu from Hong Kong SAR, China",
Charles from Indonesia,Deluxe Double Ocean
Christopher from United States,Standard Terrace Double Garden
"Ming from Hong Kong SAR, China",Standard Double Mountain
Michael from Singapore,
병욱 from South Korea,Deluxe Double Ocean
JETAEK from South Korea,Premier Double Mountain
Moonsub from South Korea,Standard Double Mountain
Will from United States,Deluxe Family Twin Mountain
"Sze from Hong Kong SAR, China",Premier Double Ocean
JIA from Singapore,Standard Double Mountain
Jae from South Korea,Standard Double Mountain
Priscilla from Indonesia,
S,Standard Double Mountain
Dennis from United States,Premier Double Ocean
Lee from South Korea,Premier Double Ocean
SeokJin from South Korea,
TAEYONG from South Korea,
Min from South Korea,
sasung from South Korea,
Patricia from United Kingdom,
DO from South Korea,
Fazle from United States,
Joseph from United States,
Eugene from Singapore,
"Jennifer from Hong Kong SAR, China",
"Fei from Hong Kong SAR, China",
Jutamas from Thailand,
JIN from South Korea,
Sang from South Korea,
HYUNHO from South Korea,
JIEUN from South Korea,
MIN from Myanmar,
Sunghwan from South Korea,
성은 from South Korea,
JEONGTAK from South Korea,
peigen from Australia,
mi from South Korea,
DONGWOOK from South Korea,
Dean from United States,
Soyoung from South Korea,
Min from Singapore,
Min from Singapore,
Sudeep from India,
HYUNWOO from South Korea,
Jaye from Singapore,
QIDONG from China,
Jie from China,
JIHYE from South Korea,
LIM from Singapore,
Maosen from China,
Francois from France,
Hyo from United States,
Benjamin from Malaysia,
Tak from Malaysia,
Michael from United States,
Eric from Canada,
PRASANTA from Canada,
Patrick from United States,
YUKAI from Singapore,
zheng from China,
JIN from South Korea,
Robin from Indonesia,
Goh from Singapore,
Chen from Taiwan,
Boris from France,
Minh from Vietnam,
Ahmed from Saudi Arabia,
CHEE from Malaysia,
Minsung from South Korea,
Ken from South Korea,
Mark from Philippines,
Megawati from Indonesia,
Saereum from South Korea,
Apri from Indonesia,
Maureen from United States,
KANGWEI from Singapore,
Christopher from United States,
Wai from Singapore,
Anders from Norway,
Chia from Singapore,
Victoria from China,
Khiat from Singapore,
PAIBOON from Thailand,
Nilobol from Thailand,
yan from China,
Peter from Australia,
ivan from Spain,
"Alexandre from Hong Kong SAR, China",
peter from Germany,Standard Twin Mountain
Jurriaan from Netherlands,Deluxe Family Twin Mountain
AIKO from Japan,Standard Twin Mountain
Hiroyuki from Japan,Standard Twin Mountain
SHIGETOSHI from South Korea,Deluxe Family Twin Mountain
sumida from Japan,Standard Double Mountain
YUKA from Japan,
Yumi from South Korea,Standard Double Mountain
Seo from South Korea,Deluxe Double Mountain
Aya from United States,Deluxe Double Mountain
sang from South Korea,Standard Twin Mountain
SEUNGJIN from South Korea,Premier Terrace Double Garden
yong from United States,Deluxe Family Twin Mountain
Se from Singapore,Standard Twin Garden
malco from Indonesia,Standard Double Mountain
Hannah from United States,Premier Terrace Double Garden
Sang from South Korea,Premier Double Ocean
Ho from United States,Deluxe Double Ocean
Teri from South Korea,Standard Twin Mountain
Jin from South Korea,Standard Twin Mountain
Hyeyoung from South Korea,Standard Double Mountain
Terri from United States,Standard Double Mountain for 2 People
Christie from United States,Premier Double Ocean
Christine from United States,Standard Double Mountain
Soh from South Korea,Premier Double Ocean
Kyoung from South Korea,Standard Twin Mountain for 2 People
Christie from United States,Premier Double Ocean
Eunha from South Korea,Standard Double Mountain
EUNJIN from Taiwan,Standard Double Mountain
Yongsik from South Korea,Standard Double Garden
Jiwoo from United States,Standard Twin Mountain
SUJI from South Korea,Standard Double Mountain
Narae from South Korea,Standard Double Garden
Ha from South Korea,Standard Double Garden
JENNY from Malaysia,
Roy from Singapore,Deluxe Double Ocean
"Siu from Hong Kong SAR, China",
Charles from Indonesia,Deluxe Double Ocean
Christopher from United States,Standard Terrace Double Garden
"Ming from Hong Kong SAR, China",Standard Double Mountain
Michael from Singapore,
병욱 from South Korea,Deluxe Double Ocean
JETAEK from South Korea,Premier Double Mountain
Moonsub from South Korea,Standard Double Mountain
Will from United States,Deluxe Family Twin Mountain
"Sze from Hong Kong SAR, China",Premier Double Ocean
JIA from Singapore,Standard Double Mountain
Jae from South Korea,Standard Double Mountain
Priscilla from Indonesia,
S,Standard Double Mountain
Dennis from United States,Premier Double Ocean
Lee from South Korea,Premier Double Ocean
SeokJin from South Korea,
TAEYONG from South Korea,
Min from South Korea,
sasung from South Korea,
Patricia from United Kingdom,
DO from South Korea,
Fazle from United States,
Joseph from United States,
Eugene from Singapore,
"Jennifer from Hong Kong SAR, China",
"Fei from Hong Kong SAR, China",
Jutamas from Thailand,
JIN from South Korea,
Sang from South Korea,
HYUNHO from South Korea,
JIEUN from South Korea,
MIN from Myanmar,
Sunghwan from South Korea,
성은 from South Korea,
JEONGTAK from South Korea,
peigen from Australia,
mi from South Korea,
DONGWOOK from South Korea,
Dean from United States,
Soyoung from South Korea,
Min from Singapore,
Min from Singapore,
Sudeep from India,
HYUNWOO from South Korea,
Jaye from Singapore,
QIDONG from China,
Jie from China,
JIHYE from South Korea,
LIM from Singapore,
Maosen from China,
Francois from France,
Hyo from United States,
Benjamin from Malaysia,
Tak from Malaysia,
Michael from United States,
Eric from Canada,
PRASANTA from Canada,
Patrick from United States,
YUKAI from Singapore,
zheng from China,
JIN from South Korea,
Robin from Indonesia,
Goh from Singapore,
Chen from Taiwan,
Boris from France,
Minh from Vietnam,
Ahmed from Saudi Arabia,
CHEE from Malaysia,
Minsung from South Korea,
Ken from South Korea,
Mark from Philippines,
Megawati from Indonesia,
Saereum from South Korea,
Apri from Indonesia,
Maureen from United States,
KANGWEI from Singapore,
Christopher from United States,
Wai from Singapore,
Anders from Norway,
Chia from Singapore,
Victoria from China,
Khiat from Singapore,
PAIBOON from Thailand,
Nilobol from Thailand,
yan from China,
Peter from Australia,
ivan from Spain,
"Alexandre from Hong Kong SAR, China",
peter from Germany,Standard Twin Mountain
Jurriaan from Netherlands,Deluxe Family Twin Mountain
AIKO from Japan,Standard Twin Mountain
Hiroyuki from Japan,Standard Twin Mountain
SHIGETOSHI from South Korea,Deluxe Family Twin Mountain
sumida from Japan,Standard Double Mountain
YUKA from Japan,
Yumi from South Korea,Standard Double Mountain
Seo from South Korea,Deluxe Double Mountain
Aya from United States,Deluxe Double Mountain
sang from South Korea,Standard Twin Mountain
SEUNGJIN from South Korea,Premier Terrace Double Garden
yong from United States,Deluxe Family Twin Mountain
Se from Singapore,Standard Twin Garden
malco from Indonesia,Standard Double Mountain
Hannah from United States,Premier Terrace Double Garden
Sang from South Korea,Premier Double Ocean
Ho from United States,Deluxe Double Ocean
Teri from South Korea,Standard Twin Mountain
Jin from South Korea,Standard Twin Mountain
Hyeyoung from South Korea,Standard Double Mountain
Terri from United States,Standard Double Mountain for 2 People
Christie from United States,Premier Double Ocean
Christine from United States,Standard Double Mountain
Soh from South Korea,Premier Double Ocean
Kyoung from South Korea,Standard Twin Mountain for 2 People
Christie from United States,Premier Double Ocean
Eunha from South Korea,Standard Double Mountain
EUNJIN from Taiwan,Standard Double Mountain
Yongsik from South Korea,Standard Double Garden
Jiwoo from United States,Standard Twin Mountain
SUJI from South Korea,Standard Double Mountain
Narae from South Korea,Standard Double Garden
Ha from South Korea,Standard Double Garden
JENNY from Malaysia,
Roy from Singapore,Deluxe Double Ocean
"Siu from Hong Kong SAR, China",
Charles from Indonesia,Deluxe Double Ocean
Christopher from United States,Standard Terrace Double Garden
"Ming from Hong Kong SAR, China",Standard Double Mountain
Michael from Singapore,
병욱 from South Korea,Deluxe Double Ocean
JETAEK from South Korea,Premier Double Mountain
Moonsub from South Korea,Standard Double Mountain
Will from United States,Deluxe Family Twin Mountain
"Sze from Hong Kong SAR, China",Premier Double Ocean
JIA from Singapore,Standard Double Mountain
Jae from South Korea,Standard Double Mountain
Priscilla from Indonesia,
S,Standard Double Mountain
Dennis from United States,Premier Double Ocean
Lee from South Korea,Premier Double Ocean
SeokJin from South Korea,
TAEYONG from South Korea,
Min from South Korea,
sasung from South Korea,
Patricia from United Kingdom,
DO from South Korea,
Fazle from United States,
Joseph from United States,
Eugene from Singapore,
"Jennifer from Hong Kong SAR, China",
"Fei from Hong Kong SAR, China",
Jutamas from Thailand,
JIN from South Korea,
Sang from South Korea,
HYUNHO from South Korea,
JIEUN from South Korea,
MIN from Myanmar,
Sunghwan from South Korea,
성은 from South Korea,
JEONGTAK from South Korea,
peigen from Australia,
mi from South Korea,
DONGWOOK from South Korea,
Dean from United States,
Soyoung from South Korea,
Min from Singapore,
Min from Singapore,
Sudeep from India,
HYUNWOO from South Korea,
Jaye from Singapore,
QIDONG from China,
Jie from China,
JIHYE from South Korea,
LIM from Singapore,
Maosen from China,
Francois from France,
Hyo from United States,
Benjamin from Malaysia,
Tak from Malaysia,
Michael from United States,
Eric from Canada,
PRASANTA from Canada,
Patrick from United States,
YUKAI from Singapore,
zheng from China,
JIN from South Korea,
Robin from Indonesia,
Goh from Singapore,
Chen from Taiwan,
Boris from France,
Minh from Vietnam,
Ahmed from Saudi Arabia,
CHEE from Malaysia,
Minsung from South Korea,
Ken from South Korea,
Mark from Philippines,
Megawati from Indonesia,
Saereum from South Korea,
Apri from Indonesia,
Maureen from United States,
KANGWEI from Singapore,
Christopher from United States,
Wai from Singapore,
Anders from Norway,
Chia from Singapore,
Victoria from China,
Khiat from Singapore,
PAIBOON from Thailand,
Nilobol from Thailand,
yan from China,
Peter from Australia,
ivan from Spain,
"Alexandre from Hong Kong SAR, China",
peter from Germany,Standard Twin Mountain
Jurriaan from Netherlands,Deluxe Family Twin Mountain
AIKO from Japan,Standard Twin Mountain
Hiroyuki from Japan,Standard Twin Mountain
SHIGETOSHI from South Korea,Deluxe Family Twin Mountain
sumida from Japan,Standard Double Mountain
YUKA from Japan,
Yumi from South Korea,Standard Double Mountain
Seo from South Korea,Deluxe Double Mountain
Aya from United States,Deluxe Double Mountain
sang from South Korea,Standard Twin Mountain
SEUNGJIN from South Korea,Premier Terrace Double Garden
yong from United States,Deluxe Family Twin Mountain
Se from Singapore,Standard Twin Garden
malco from Indonesia,Standard Double Mountain
Hannah from United States,Premier Terrace Double Garden
Sang from South Korea,Premier Double Ocean
Ho from United States,Deluxe Double Ocean
Teri from South Korea,Standard Twin Mountain
Jin from South Korea,Standard Twin Mountain
Hyeyoung from South Korea,Standard Double Mountain
Terri from United States,Standard Double Mountain for 2 People
Christie from United States,Premier Double Ocean
Christine from United States,Standard Double Mountain
Soh from South Korea,Premier Double Ocean
Kyoung from South Korea,Standard Twin Mountain for 2 People
Christie from United States,Premier Double Ocean
Eunha from South Korea,Standard Double Mountain
EUNJIN from Taiwan,Standard Double Mountain
Yongsik from South Korea,Standard Double Garden
Jiwoo from United States,Standard Twin Mountain
SUJI from South Korea,Standard Double Mountain
Narae from South Korea,Standard Double Garden
Ha from South Korea,Standard Double Garden
JENNY from Malaysia,
Roy from Singapore,Deluxe Double Ocean
"Siu from Hong Kong SAR, China",
Charles from Indonesia,Deluxe Double Ocean
Christopher from United States,Standard Terrace Double Garden
"Ming from Hong Kong SAR, China",Standard Double Mountain
Michael from Singapore,
병욱 from South Korea,Deluxe Double Ocean
JETAEK from South Korea,Premier Double Mountain
Moonsub from South Korea,Standard Double Mountain
Will from United States,Deluxe Family Twin Mountain
"Sze from Hong Kong SAR, China",Premier Double Ocean
JIA from Singapore,Standard Double Mountain
Jae from South Korea,Standard Double Mountain
Priscilla from Indonesia,
S,Standard Double Mountain
Dennis from United States,Premier Double Ocean
Lee from South Korea,Premier Double Ocean
SeokJin from South Korea,
TAEYONG from South Korea,
Min from South Korea,
sasung from South Korea,
Patricia from United Kingdom,
DO from South Korea,
Fazle from United States,
Joseph from United States,
Eugene from Singapore,
"Jennifer from Hong Kong SAR, China",
"Fei from Hong Kong SAR, China",
Jutamas from Thailand,
JIN from South Korea,
Sang from South Korea,
HYUNHO from South Korea,
JIEUN from South Korea,
MIN from Myanmar,
Sunghwan from South Korea,
성은 from South Korea,
JEONGTAK from South Korea,
peigen from Australia,
mi from South Korea,
DONGWOOK from South Korea,
Dean from United States,
Soyoung from South Korea,
Min from Singapore,
Min from Singapore,
Sudeep from India,
HYUNWOO from South Korea,
Jaye from Singapore,
QIDONG from China,
Jie from China,
JIHYE from South Korea,
LIM from Singapore,
Maosen from China,
Francois from France,
Hyo from United States,
Benjamin from Malaysia,
Tak from Malaysia,
Michael from United States,
Eric from Canada,
PRASANTA from Canada,
Patrick from United States,
YUKAI from Singapore,
zheng from China,
JIN from South Korea,
Robin from Indonesia,
Goh from Singapore,
Chen from Taiwan,
Boris from France,
Minh from Vietnam,
Ahmed from Saudi Arabia,
CHEE from Malaysia,
Minsung from South Korea,
Ken from South Korea,
Mark from Philippines,
Megawati from Indonesia,
Saereum from South Korea,
Apri from Indonesia,
Maureen from United States,
KANGWEI from Singapore,
Christopher from United States,
Wai from Singapore,
Anders from Norway,
Chia from Singapore,
Victoria from China,
Khiat from Singapore,
PAIBOON from Thailand,
Nilobol from Thailand,
yan from China,
Peter from Australia,
ivan from Spain,
"Alexandre from Hong Kong SAR, China",
peter from Germany,Standard Twin Mountain
Jurriaan from Netherlands,Deluxe Family Twin Mountain
AIKO from Japan,Standard Twin Mountain
Hiroyuki from Japan,Standard Twin Mountain
SHIGETOSHI from South Korea,Deluxe Family Twin Mountain
sumida from Japan,Standard Double Mountain
YUKA from Japan,
Yumi from South Korea,Standard Double Mountain
Seo from South Korea,Deluxe Double Mountain
Aya from United States,Deluxe Double Mountain
sang from South Korea,Standard Twin Mountain
SEUNGJIN from South Korea,Premier Terrace Double Garden
yong from United States,Deluxe Family Twin Mountain
Se from Singapore,Standard Twin Garden
malco from Indonesia,Standard Double Mountain
Hannah from United States,Premier Terrace Double Garden
Sang from South Korea,Premier Double Ocean
Ho from United States,Deluxe Double Ocean
Teri from South Korea,Standard Twin Mountain
Jin from South Korea,Standard Twin Mountain
Hyeyoung from South Korea,Standard Double Mountain
Terri from United States,Standard Double Mountain for 2 People
Christie from United States,Premier Double Ocean
Christine from United States,Standard Double Mountain
Soh from South Korea,Premier Double Ocean
Kyoung from South Korea,Standard Twin Mountain for 2 People
Christie from United States,Premier Double Ocean
Eunha from South Korea,Standard Double Mountain
EUNJIN from Taiwan,Standard Double Mountain
Yongsik from South Korea,Standard Double Garden
Jiwoo from United States,Standard Twin Mountain
SUJI from South Korea,Standard Double Mountain
Narae from South Korea,Standard Double Garden
Ha from South Korea,Standard Double Garden
JENNY from Malaysia,
Roy from Singapore,Deluxe Double Ocean
"Siu from Hong Kong SAR, China",
Charles from Indonesia,Deluxe Double Ocean
Christopher from United States,Standard Terrace Double Garden
"Ming from Hong Kong SAR, China",Standard Double Mountain
Michael from Singapore,
병욱 from South Korea,Deluxe Double Ocean
JETAEK from South Korea,Premier Double Mountain
Moonsub from South Korea,Standard Double Mountain
Will from United States,Deluxe Family Twin Mountain
"Sze from Hong Kong SAR, China",Premier Double Ocean
JIA from Singapore,Standard Double Mountain
Jae from South Korea,Standard Double Mountain
Priscilla from Indonesia,
S,Standard Double Mountain
Dennis from United States,Premier Double Ocean
Lee from South Korea,Premier Double Ocean
SeokJin from South Korea,
TAEYONG from South Korea,
Min from South Korea,
sasung from South Korea,
Patricia from United Kingdom,
DO from South Korea,
Fazle from United States,
Joseph from United States,
Eugene from Singapore,
"Jennifer from Hong Kong SAR, China",
"Fei from Hong Kong SAR, China",
Jutamas from Thailand,
JIN from South Korea,
