review_content,date_text
"Is it necessary to write a review for this hotel?”
They upgraded my room so I decided to write a review haha. This is the best hotel that everyone in Korea knows about, with service and facilities that match its reputation. The staff are friendly (even though I checked in late, I still got a room upgrade) and the interior design turns the old into vintage, but it's not outdated at all. During my stay, I walked around the well-maintained gardens near the hotel after having breakfast, and it was the happiest memory of my Jeju trip. Even if there are many new and good hotels, Shilla is definitely the best in Jeju. I plan to go again next year... I need to make more money...",Stayed 2 nights in November 2023
"As expected, Shilla is Shilla!! Adding the evening view at The Parkview made it completely satisfying.”
During the room change, the female staff member who helped us was very kind and helpful. Unfortunately, we couldn't see her name because her jacket was covering it. She was really great! All the other staff members were also very kind. However, the two women who were in charge of the entrance at The Parkview on November 14th seemed to be new. We have stayed at Shilla Hotel many times, but we have never seen anyone who was unresponsive. Overall, we are satisfied and will come back again!",Stayed 1 night in November 2023
"Exellent Location & Service”
We stayed at Shilla Jeju for 3 days. The location is excellent, they have many restaurants and shops near by, easy and free parking on site. Also the staff at the hotel provides excellent services. This property is really big, has adult only pool, hiking course along the cliff with amazing ocean view, gramping site and more! Highly recommend this hotel!",Stayed 3 nights in October 2023
"""I can understand why many people are looking for it.""”
During my 2-night, 3-day trip to Jeju Island, I chose to stay at the Shilla Hotel. As a hotel that boasts history, tradition, and natural surroundings in the Jungmun Tourist Complex, I was able to comfortably heal and relax. The accommodation was quiet and comfortable, and I slept well. The reason for this was not only because of the clean facilities, but also because of the indescribable comfort. Above all, I recommend this hotel because of the beautiful forest path in front of the hotel, the themed observatory, and the cool tech that connects to the nearby beach. The background is so beautiful that even just taking pictures and walking around could take half a day. I highly recommend this place for families and couples.",Stayed 2 nights in October 2023
"완벽산 신라호텔 경험”
가든뷰에 17개월 아기와 함께 묵었습니다. 비록 저녁에 윗층에서 소란이 있기는 했지만 신라호텔에 지불하는 비용은 최신시설이 아닌 스테프들의 서비스와 경험을 사는것을 느꼈던 여행이였습니다. 왜 내가 이런 운이 없는 방을 받았을까? 라는 감정에서 신라호텔을 왔기때문에 이런 경험도 하는구나 로 바뀌는 순간이였습니다. 다시한번 놀라운 경험을 도와주신 지배인님과 모든 스텝분들께 우리 가족은 감사를 표합니다.",Stayed 1 night in September 2023
"어린이 포함 가족에게 완전 추천”
키즈 프렌들리 호텔입니다! 어린이 동반 여행자에게 더할 나위 없이 좋은 시설을 갖추고 있습니다",Stayed 2 nights in November 2023
"추천합니다.”
너무 좋습니다. 경관도 아름답고 산책하기도 좋았습니다.아쉽게 생수가 없었어요. 탄산수는 있습니다.",Stayed 2 nights in March 2023
"황홀그자체”
역시 신라호텔이네요. 너무좋았습니다. 다음에 또 시간되면 방문하고싶네요",Stayed 1 night in November 2023
"Worth every penny”
Room is spacious, clean and neat. Every staff was so kind and willing to help that you don’t really need to ask for a help(because they ask if you need help before you ask them for a help) Facilities are also clean and luxurious. If you are ready to pay for extra money for the higher quality service, this is the place.",Stayed 2 nights in September 2022
"It’s always good place to stay”
Traveling with two young children and elderly parents Good place to stay with family Good food, good facilities",Stayed 3 nights in August 2023
