,label
0,0
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,0
28,1
29,1
30,1
31,0
32,1
33,0
34,1
35,1
36,0
37,1
38,0
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,0
47,0
48,0
49,1
50,1
51,0
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,1
114,1
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,1
123,1
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,1
132,0
133,0
134,1
135,1
136,1
137,0
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,1
149,1
150,0
151,0
152,1
153,1
154,1
155,0
156,0
157,0
158,0
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,1
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,1
178,1
179,1
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,1
203,0
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,0
247,1
248,1
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,0
259,1
260,0
261,1
262,0
263,0
264,1
265,1
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,1
280,0
281,1
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,1
290,0
291,1
292,1
293,0
294,1
295,1
296,0
297,0
298,0
299,1
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,0
308,0
309,1
310,0
311,0
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,0
322,0
323,1
324,1
325,0
326,0
327,1
328,0
329,0
330,0
331,0
332,1
333,1
334,0
335,0
336,0
337,1
338,0
339,0
340,1
341,1
342,1
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,1
372,1
373,0
374,1
375,1
376,0
377,0
378,1
379,0
380,1
381,1
382,0
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,0
400,0
401,0
402,1
403,1
404,0
405,1
406,0
407,0
408,1
409,1
410,0
411,0
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,0
423,0
424,0
425,1
426,1
427,1
428,1
429,0
430,0
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,0
440,0
441,1
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,0
451,1
452,1
453,1
454,1
455,1
456,0
457,0
458,0
459,1
460,1
461,1
462,0
463,1
464,1
465,1
466,1
467,0
468,1
469,1
470,1
471,0
472,1
473,0
474,0
475,1
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,1
484,1
485,0
486,1
487,1
488,0
489,0
490,0
491,1
492,1
493,1
494,0
495,0
496,0
497,1
498,0
499,0
500,1
501,0
502,0
503,0
504,1
505,0
506,0
507,1
508,1
509,1
510,1
511,0
512,0
513,1
514,0
515,0
516,0
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,1
531,1
532,1
533,0
534,1
535,1
536,1
537,0
538,0
539,1
540,1
541,1
542,1
543,1
544,0
545,0
546,1
547,1
548,1
549,0
550,0
551,1
552,1
553,0
554,1
555,0
556,1
557,0
558,1
559,0
560,0
561,0
562,1
563,0
564,0
565,0
566,1
567,1
568,0
569,1
570,0
571,0
572,1
573,0
574,1
575,0
576,1
577,0
578,0
579,1
580,0
581,1
582,1
583,1
584,0
585,1
586,0
587,1
588,1
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,0
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,0
614,1
615,0
616,0
617,0
618,0
619,0
620,1
621,0
622,0
623,1
624,0
625,0
626,0
627,1
628,1
629,0
630,0
631,0
632,1
633,1
634,1
635,1
636,1
637,1
638,0
639,1
640,1
641,0
642,1
643,0
644,1
645,1
646,0
647,0
648,0
649,0
650,1
651,0
652,0
653,1
654,0
655,0
656,1
657,1
658,1
659,1
660,0
661,1
662,0
663,0
664,1
665,1
666,0
667,0
668,0
669,1
670,0
671,0
672,1
673,0
674,0
675,0
676,1
677,1
678,1
679,1
680,0
681,0
682,1
683,0
684,1
685,1
686,1
687,0
688,0
689,1
690,1
691,0
692,1
693,0
694,1
695,0
696,0
697,0
698,1
699,0
700,1
701,0
702,0
703,0
704,0
705,0
706,0
707,1
708,1
709,0
710,1
711,0
712,1
713,0
714,0
715,0
716,1
717,0
718,0
719,1
720,0
721,0
722,1
723,1
724,1
725,0
726,0
727,0
728,1
729,0
730,1
731,0
732,1
733,1
734,0
735,0
736,0
737,0
738,0
739,1
740,1
741,1
742,0
743,0
744,1
745,0
746,1
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,1
757,1
758,0
759,0
760,0
761,1
762,1
763,0
764,0
765,1
766,0
767,1
768,1
769,0
770,1
771,0
772,1
773,0
774,0
775,1
776,0
777,1
778,1
779,0
780,0
781,0
782,0
783,1
784,1
785,0
786,1
787,1
788,0
789,0
790,1
791,1
792,0
793,0
794,0
795,0
796,1
797,1
798,0
799,0
800,0
801,0
802,1
803,0
804,1
805,0
806,1
807,1
808,0
809,0
810,1
811,0
812,0
813,0
814,1
815,1
816,0
817,0
818,1
819,1
820,1
821,1
822,0
823,1
824,1
825,0
826,0
827,0
828,1
829,1
830,1
831,0
832,0
833,0
834,0
835,0
836,1
837,0
838,0
839,0
840,0
841,1
842,0
843,0
844,0
845,1
846,1
847,1
848,0
849,1
850,1
851,0
852,0
853,0
854,0
855,1
856,1
857,0
858,1
859,0
860,0
861,0
862,1
863,1
864,0
865,1
866,0
867,0
868,1
869,0
870,1
871,1
872,0
873,0
874,0
875,0
876,1
877,1
878,1
879,1
880,1
881,0
882,0
883,0
884,1
885,1
886,1
887,1
888,1
889,0
890,0
891,1
892,0
893,0
894,0
895,0
896,0
897,0
898,1
899,1
900,0
901,1
902,1
903,1
904,0
905,0
906,1
907,0
908,1
909,1
910,0
911,1
912,1
913,0
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,0
922,1
923,1
924,1
925,1
926,1
927,0
928,1
929,0
930,0
931,1
932,1
933,1
934,1
935,1
936,0
937,0
938,1
939,1
940,1
941,0
942,1
943,1
944,1
945,0
946,1
947,1
948,0
949,1
950,0
951,1
952,0
953,0
954,0
955,1
956,0
957,0
958,0
959,1
960,0
961,0
962,0
963,1
964,1
965,0
966,0
967,0
968,1
969,1
970,1
971,0
972,0
973,1
974,0
975,1
976,1
977,1
978,1
979,0
980,1
981,0
982,1
983,1
984,0
985,0
986,0
987,1
988,0
989,1
990,1
991,1
992,1
993,0
994,0
995,0
996,0
997,1
998,0
999,1
1000,1
1001,0
1002,1
1003,0
1004,1
1005,1
1006,1
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,0
1019,1
1020,0
1021,0
1022,1
1023,0
1024,0
1025,1
1026,0
1027,0
1028,0
1029,0
1030,1
1031,0
1032,0
1033,0
1034,0
1035,0
1036,1
1037,0
1038,1
1039,0
1040,1
1041,0
1042,0
1043,0
1044,1
1045,1
1046,1
1047,1
1048,0
1049,1
1050,0
1051,0
1052,1
1053,0
1054,1
1055,1
1056,0
1057,0
1059,1
1060,0
1061,0
